source_folder,customer_id,profile,priority,items,payment_method,arrival_time_s,service_start_s,service_end_s,wait_time_s,service_time_s,total_time_s,arrival_hour,total_revenue_clp,cart_categories,cart_category_revenue_clp,cart_items,total_profit_clp,cart_category_profit_clp,lane_name,lane_type,queue_request_priority,patience_s,outcome,balk_reason,abandon_reason,effective_queue_length
Week-01-Day-03,1593,family_cart,no_priority,119,card,19038.228319369555,19038.228319369555,19482.10396086201,0.0,443.87564149245253,443.8756414924537,13,0,,,119,26540,,REG-2,regular,no_priority,216.0244329851275,served,,,0
Week-01-Day-03,1654,deal_hunter,no_priority,6,cash,19419.767370047623,19424.956968639297,19494.326492744247,5.189598591674439,69.36952410494868,74.5591226966244,13,0,,,6,2062,,EXP-3,express,no_priority,605.1649398760496,served,,,1
Week-01-Day-03,1597,weekly_planner,no_priority,82,cash,19090.687624517624,19090.687624517624,19494.793952165557,0.0,404.10632764793434,404.10632764793263,13,0,,,82,16302,,REG-12,regular,no_priority,334.2563516553464,served,,,0
Week-01-Day-03,1658,express_basket,no_priority,6,card,19448.489139022306,19448.489139022306,19500.359478945298,0.0,51.870339922992954,51.87033992299257,13,0,,,6,996,,EXP-1,express,no_priority,148.86384207730185,served,,,0
Week-01-Day-03,1651,express_basket,no_priority,7,card,19412.091267012715,19412.091267012715,19509.700407648328,0.0,97.60914063561258,97.60914063561358,13,0,,,7,821,,SCO-4,sco,no_priority,147.9742615799093,served,,,0
Week-01-Day-03,1657,express_basket,no_priority,3,card,19448.140395561255,19448.140395561255,19512.260790976765,0.0,64.12039541550834,64.12039541550985,13,0,,,3,2167,,REG-11,regular,no_priority,160.54908560315894,served,,,0
Week-01-Day-03,1628,family_cart,no_priority,55,cash,19276.736371279534,19303.612262134422,19515.937643452708,26.875890854887984,212.3253813182853,239.2012721731735,13,0,,,55,13650,,REG-4,regular,no_priority,763.780100865207,served,,,1
Week-01-Day-03,1653,self_checkout_fan,no_priority,7,card,19416.804389861813,19416.804389861813,19515.9406759177,0.0,99.13628605588897,99.13628605588747,13,0,,,7,2587,,SCO-2,sco,no_priority,1591.1865713013663,served,,,0
Week-01-Day-03,1652,express_basket,no_priority,5,card,19412.913736413924,19412.913736413924,19528.75358891654,0.0,115.83985250261712,115.83985250261685,13,0,,,5,1063,,SCO-5,sco,no_priority,248.5953123083042,served,,,0
Week-01-Day-03,1648,family_cart,no_priority,61,card,19399.71725320749,19494.793952165557,19535.662386257074,95.07669895806612,40.86843409151692,135.9451330495831,13,0,,,61,13446,,REG-12,regular,no_priority,812.0190451289446,served,,,1
Week-01-Day-03,1661,deal_hunter,no_priority,9,card,19462.398441821104,19462.398441821104,19538.20098183347,0.0,75.80254001236649,75.80254001236608,13,0,,,9,2129,,EXP-2,express,no_priority,182.87236918671644,served,,,0
Week-01-Day-03,1655,express_basket,no_priority,21,card,19419.842520792212,19438.238281454775,19544.192171938346,18.39576066256268,105.95389048357195,124.34965114613442,13,0,,,21,4781,,REG-7,regular,no_priority,18.897939232192215,served,,,1
Week-01-Day-03,1664,express_basket,no_priority,4,card,19500.96208360396,19500.96208360396,19549.518348257265,0.0,48.556264653305,48.556264653303515,13,0,,,4,0,,REG-2,regular,no_priority,211.42980553688693,served,,,0
Week-01-Day-03,1665,express_basket,no_priority,8,card,19503.922400156807,19503.922400156807,19553.89227134722,0.0,49.96987119041127,49.96987119041296,13,0,,,8,2432,,EXP-1,express,no_priority,181.53287605642706,served,,,0
Week-01-Day-03,1659,self_checkout_fan,no_priority,16,card,19453.646709009583,19468.18265297283,19554.63354887728,14.535943963248428,86.4508959044472,100.98683986769538,13,0,,,16,2814,,REG-14,regular,no_priority,372.1575382343533,served,,,1
Week-01-Day-03,1641,self_checkout_fan,no_priority,13,cash,19363.303678260323,19476.074189638464,19555.97159278722,112.77051137814124,79.89740314875671,192.66791452689722,13,0,,,13,1732,,REG-15,regular,no_priority,589.1723827452508,served,,,1
Week-01-Day-03,1656,deal_hunter,no_priority,27,card,19439.410586218655,19439.410586218655,19570.713443865403,0.0,131.3028576467495,131.30285764674773,13,0,,,27,5657,,REG-10,regular,no_priority,82.40839554546635,served,,,0
Week-01-Day-03,1619,family_cart,no_priority,83,card,19226.4187178324,19243.271539799116,19579.01517968007,16.852821966716874,335.7436398809541,352.5964618476719,13,0,,,83,18838,,REG-9,regular,no_priority,1333.1094987060505,served,,,1
Week-01-Day-03,1673,express_basket,no_priority,2,card,19527.89077163748,19527.89077163748,19582.336789267913,0.0,54.44601763043229,54.446017630431015,13,0,,,2,236,,SCO-4,sco,no_priority,68.80211184486443,served,,,0
Week-01-Day-03,1668,express_basket,no_priority,11,card,19515.65935713333,19515.65935713333,19585.171540086638,0.0,69.51218295331051,69.5121829533091,13,0,,,11,3278,,REG-11,regular,no_priority,237.65966368055683,served,,,0
Week-01-Day-03,1609,weekly_planner,no_priority,63,card,19178.75018820393,19286.503638282054,19586.557829487814,107.75345007812575,300.05419120576,407.80764128388546,13,0,,,63,17439,,PRI-2,priority,no_priority,293.34602285262963,served,,,1
Week-01-Day-03,1672,express_basket,no_priority,5,card,19527.21095583555,19527.21095583555,19593.33816522234,0.0,66.12720938678964,66.12720938678831,13,0,,,5,1374,,EXP-3,express,no_priority,127.14823798130726,served,,,0
Week-01-Day-03,1678,express_basket,no_priority,4,card,19549.602765443284,19549.602765443284,19594.712094613787,0.0,45.109329170503905,45.10932917050377,13,0,,,4,443,,REG-2,regular,no_priority,5.812131148303631,served,,,0
Week-01-Day-03,1613,family_cart,no_priority,111,card,19196.965310800675,19256.206300650436,19595.17536577852,59.24098984976081,338.9690651280828,398.21005497784427,13,0,,,111,22283,,REG-3,regular,no_priority,752.2346814516364,served,,,1
Week-01-Day-03,1630,family_cart,no_priority,57,cash,19278.11233770487,19351.370065418396,19600.090543250415,73.25772771352422,248.72047783201947,321.97820554554346,13,0,,,57,10072,,REG-5,regular,no_priority,343.88926672340256,served,,,1
