scenario,2026,2027,2028,2029,2030,score,segment
E 91,0.9948788696543088,1.009361626956749,1.0035916246870369,1.01845992718721,1.024860711829692,1.0101748763584588,regular
E 92,1.008714997594662,1.012248397609457,1.031366726157825,1.0394327147721163,1.0524724612595655,1.0287152142877716,optimista
E 93,0.9938224729994,1.0066224015948793,0.9932106968202647,1.0035209633426931,1.0089743585850417,1.0012088370991423,pesimista
E 94,1.0155945366327206,1.016409313036688,1.0289832764408715,1.0468851710442884,1.0669178637861911,1.0347739061339545,optimista
E 95,1.0011699604814792,1.017129064502926,1.0261676199558214,1.0301455292375183,1.0422387393074684,1.0232779008728148,regular
E 96,0.9940772359524328,1.010217217370557,1.0023216278285565,1.01187445855877,1.0134531772707085,1.006362542612224,regular
E 97,1.017102953585936,1.0131912299738823,1.0189960558771207,1.025480212992757,1.0380771109656386,1.0225325651503945,regular
E 98,1.0185546160404255,1.022805358986295,1.0354657553257078,1.0528570734184408,1.0653779479499284,1.0388605051933388,optimista
E 99,1.0067612048748928,1.017613390270567,1.0406072975692993,1.049609919387576,1.0632991101331255,1.035370783594906,optimista
E 100,1.0065256304085743,1.0283815792465356,1.0313532951539193,1.0365116862253003,1.0492201783636113,1.0303042349865752,optimista
E 101,1.0193291860231173,1.0095715283650073,1.0270927314653078,1.0505625282188602,1.0682029038594012,1.034730793792474,optimista
E 102,0.9912158725833424,1.0000256227412754,1.0100012183671778,1.0263640449420977,1.03000407435861,1.0114125287598936,regular
E 103,1.0155037847956725,1.0267239778576696,1.0120787726428075,1.0044429932631196,0.999646880928324,1.0116360452910134,regular
E 104,1.0022429005433953,0.9923079618011506,0.993023272030078,0.99027914324683,0.9927025930553652,0.9941024312114286,pesimista
E 105,1.0009031106036546,0.9877599660479834,0.9746209766770084,0.9911736285100398,1.0086218426214617,0.992547875738301,pesimista
E 106,0.9844265847983946,0.9966826764717902,0.9929448277370956,0.9930409776225722,0.9876046467026102,0.9909303523969182,pesimista
E 107,1.0116539103407804,1.0057782044103671,1.019157794962834,1.0078509138387977,1.024893434064437,1.0138416390578453,regular
